,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
0,"I know you get 2 set pieces in the new season for reaching level 70, what else do you have to do to get the other 4 pieces?

Can you get a free set again if you complete the parameters with a new character?","you get two more set pieces for completing the chapter 4 objective ""mercy"" (defeat zoltan kulle on torment ii) and two pieces for completing the chapter 4 objective ""great expectations"" (complete a level 20 greater rift solo)","as yuuki didn't answer this: **no**, you can't get the items on other characters",-2.242678165435791,-2.5959885120391846,-4.035942554473877,-3.6446053981781006
1,"I upgraded my service to 200 amp from 100 amp, but the new panel is 15 ft. away. In order to connect the existing wires to the new breakers in the new panel, will just a simple connection with higher guage wire and wire nut be fine or does it require a different approach?

thanks",extending the existing circuits from the old panel to the new one with the same gauge wire is acceptable,not clear from the question,-0.5967022180557251,0.3062802255153656,-0.7701995372772217,-1.4800235033035278
2,"I'm building a mansion to impress my friends. 

I've seen pictures of armor stands with ARMS. I searched how to summon one but all of them were either 1.9 or beta. (?how?)

What command do i use to summon one that works?",you can watch [this tutorial](https://www,"armorstands with the `showarms:1b` tag will have arms:```/summon armorstand ~ ~ ~ {showarms:1b}```you could also set this tag on the closest already-placed armorstands like so:```/entitydata @e[type=armorstand,c=1] {showarms:1b}```",-5.620802879333496,-4.603913307189941,-1.4391913414001465,-1.4788955450057983
3,"If $\sum\_{n=1}^{\infty}a\_n$ converge, then

$\sum\_{n=1}^{\infty}\sqrt[4]{a\_{n}^{5}}=\underset{n=1}{\overset{\infty}{\sum}}a\_{n}^{\frac{5}{4}}$ converge?

Please verify answer below.",yes,"because $\sum\_{n=1}^{\infty}a\_{n}$ converge, then $a\_n\rightarrow0$, so for big $n$: $a\_{n}<1$, which implies $$\sum\_{n=1}^{\infty}a\_{n}^{\frac{5}{4}}<\sum\_{n=0}^{\infty}a\_{n}$$ so it's also converge",-6.45168399810791,-2.7644128799438477,-5.393826484680176,-2.3950247764587402
4,"If I build a module with a indexer, is Magento going to run the reindex automatically each night or do I need to create a cronjob for it?","if you want the reindex happen automatically, you need to set a cronjob for that",automatic re-indexing always require a active cronjob,-2.594207525253296,1.3361567258834839,-1.6279644966125488,1.006393313407898
5,I have 10 servers running on Ubuntu 14.04 x64. Each server has a few Nvidia GPUs. I am looking for a monitoring program that would allow me to view the GPU usage on all servers at a glance.,[munin](http://munin-monitoring,as cas [said](https://unix,-0.9119524359703064,-0.8938838243484497,-2.56467604637146,-2.6866533756256104
6,"In the application there is a dialog where only numeric string entries are valid. Therefore I would like to set the numeric keyboard layout.

Does anyone know how to simulate key press on the keyboard or any other method to change the keyboard layout?

Thanks!",you don't need to,you can use the inputmodeeditor:```inputmodeeditor,-5.199982643127441,-4.821568489074707,-4.273186206817627,-4.488819122314453
7,how to prove $\forall n$ : $p\_1p\_2...p\_n +1$ isn't the perfect square. $p\_i$ is $i$th prime number.,let $n \ge 1$,"hints:$$(1)\;\;\;\;\;\forall\,n\in\bbb z\;\;,\;\;\;n^2=0,1\pmod 4$$$$(2)\;\;\;\;\;\;\;\text{what thomas andrews wrote in his comment above}$$",-1.8186445236206055,-3.4850947856903076,-3.413975477218628,-4.412416934967041
8,(<https://webapps.stackexchange.com/review/suggested-edits/111499> shows action by both.) [Edit: At first glance they both looked like special users. Not so.],community♦ is [a special user](https://meta,"a key difference is that their real user numbers, respectively, are -1 for community♦ and 186471 for user0 (on webapps, and thus *not* 0), as can be seen in the url (classically displayed in a browser's status bar when mousing over the usernames) that clicking on the name opens",-4.882179260253906,-5.210566520690918,-4.597469329833984,-4.072868824005127
9,"Suppose you are implementing a publication database and creating migrations to represent different publications. Each publication has a ""year"" associated with it.

`t.column :year, ???`

Would this year be best represented as an integer, date, or datetime?",i suggest using integer,"well, if you only care about the **year**, an integer will do just right",-1.3775755167007446,-1.3566455841064453,-0.9984232187271118,-1.922271728515625
