,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
0,"What is the coefficient of $x^9$ in the expansion of $(1+x)(1+x^2)(1+x^3)\cdots (1+x^{100})?$  

---

I manually expanded $(1+x)(1+x^2)(1+x^3)...(1+x^{10})$ and calculated the coefficient of $x^9$ as $8$ but i dont know how to solve it without expanding.Please help me.",the coefficient of $x^9$ is the number of [partitions](https://en,"in every factor of your product, you will need to pick either the $1$ or the $x^i$, so immediatly we see that for all factors with $i > 9$ we need to pick the $1$, otherwise we will get $x^k$ with $k > 9$",-2.883164644241333,-2.5805611610412598,-2.312652826309204,-3.770310878753662
1,"Prove the inequality:
$$\left(1+\dfrac{1}{\sin a}\right)\left(1+\dfrac{1}{\cos a}\right)\ge 3+2\sqrt{2}; \text{ for } a\in\left]0,\frac{\pi}{2}\right[$$","by the am-gm inequality, $$\dfrac{1}{\cos a}+\dfrac{1}{\sin a} \geq 2 \sqrt{\dfrac{1}{\sin a\cos a}}$$since $\sin a \cos a = \frac12 \sin(2a) \leq \frac12$, we have $\dfrac{1}{\sin a\cos a}\geq 2$","i think it should be $(0,\frac{\pi}{2})$, so that both $\sin a$ and $\cos a$ are positive and well defined",-3.839360237121582,-2.953409194946289,-2.2160966396331787,-3.2808961868286133
2,"I need to calculate:
$$
\iint \_D \frac{2y^2+x^2}{xy}~\mathrm dx~\mathrm dy
$$
over the set $D$ which is:
$$
y\leq x^2 \leq 2y , \quad 1\leq x^2 +y^2 \leq 2 , \quad x\geq 0 
$$
can someone help me understand what possible change of variables can I do here?

Thanks a lot in advance .",you have $$\begin{aligned}\vert f(x)-f(y) \vert &= \left\vert \sqrt{x^2+1}-\sqrt{y^2+1} \right\vert \\&= \left\vert (\sqrt{x^2+1}-\sqrt{y^2+1}) \frac{\sqrt{x^2+1}+\sqrt{y^2+1}}{\sqrt{x^2+1}+\sqrt{y^2+1}} \right\vert \\&= \left\vert \frac{x^2-y^2}{\sqrt{x^2+1}+\sqrt{y^2+1}} \right\vert \\&\le \frac{\vert x-y \vert (\vert x \vert + \vert y \vert )}{ \sqrt{x^2+1}+\sqrt{y^2+1}} \\&\le \vert x-y \vert\end{aligned}$$ hence choosing $\delta = \epsilon$ will work,note that $f'(x)= x/\sqrt {x^2+1}$ for all $x,-5.5193023681640625,-3.7319388389587402,-4.788653373718262,-4.643890857696533
3,"There are three events: $A$ and $B$ and $C$. We know $P(A|B) = P(B|C) = 0.5$. Then
$P(A|C)$ should be?

Is it $0.5\cdot0.5=0.25$?

The question only provide the above information and the question provide the following choices.

$a. 0.25$

$b. 0.5$

$c. 1$

$d. 0$

$e.$ None of the above is correct","why should you be able to tell? you only know how $a$ behaves in the presence of $b$, and how $b$ behaves in the presence of $c$",you should know at least the probability of the single events to tell,-5.421401023864746,-4.225455284118652,-5.2564544677734375,-2.9431650638580322
4,"$$a^2+ab+b^2\ge 3(a+b-1)$$
$a,b$ are real numbers

using $AM\ge GM$
I proved that 
$$a^2+b^2+ab\ge 3ab$$
$$(a^2+b^2+ab)/3\ge 3ab$$
how do I prove that $$3ab\ge 3(a+b-1)$$
if I'm able to prove the above inequality then i'll be done",**hint**: let $a=x+1$ and $b=y+1$ (in the original inequality),follow [@barrycipra](https://math,-5.503281593322754,-4.439145088195801,-5.511495590209961,-4.089241981506348
5,"image naturalWidth return zero... that's it, why ?

```
var newimage = new Image();
newimage.src = 'retouche-hr' + newlinkimage.substring(14,17) + '-a.jpg'; 
var width = newimage.naturalWidth;
alert (width);

```

HELP, i dont know why !

\*\*\* that path is good, the image show up !",i'd guess it's because you're not waiting for the image to load - try this:```var newimage = new image();newimage,here is the final working code,-2.8966236114501953,-3.9588634967803955,-3.177137851715088,-3.9499313831329346
6,"i ran jconsole, i see some live threads count and daemon threads count .... i run no other java app/classes .... i could see the list of live threads but not daemon thread .... is there a way to know what is the list of deamon threads ?","you can create a thread dump (using the `jstack` tool), which will show for each thread whether it is a daemon or not",the daemon are included in live threads,-1.4277560710906982,-3.636030435562134,-1.6554505825042725,-3.24184513092041
7,"An often given example of a group of infinite order where every element has infinite order is the group $\dfrac{\mathbb{(Q, +)}}{(\mathbb{Z, +})}$.

But I don't see why every element necessarily has finite order in this group. Why is this true? 

Also, what is the identity element of this group?",the identity of $g =\mathbb q / \mathbb z$ is $\mathbb z$,if the group is of finite order then the order of every element in the group divides the order of the group,-3.791795015335083,-3.617185354232788,-3.1595139503479004,-4.287175178527832
8,What are some key bindings that aren't included?,you can find the complete list of limitations in monotouch at [xamarin](http://docs,here is a link of the assemblies that it ships with: <http://docs,-4.7563323974609375,-3.235063076019287,-5.739276885986328,-4.7186503410339355
9,"With Windows Presentation Foundation, if I have an HWND, how can I capture it's window as an image that I can manipulate and display?",you can:1,"while above answer is great, this would have saved a ton of time too:**using section:**```using system;using system",-4.959122657775879,-4.039682388305664,-5.534814834594727,-5.328649044036865
