,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
0,"I use HtmlUnit to fill form.
I have a select `SELECT_A`. After selecting option the additional elements must appear in the page. But it's not working! I simulate Firefox 3.6.

What do you think?

I tried to use `NicelyResynchronizingAjaxController()` but it does not help.","one note: fireevent should be called with `""change""` parameter, not `""onchange""`","you can use the method `fireevent(""eventname"")` and pass eventname as a paramenter:```htmlselect fromselect = form",-5.387367248535156,-4.467820644378662,-6.236603260040283,-4.4244513511657715
1,"Is there a Java Web Framework, with mvc, thrid-party integration APIs, libraries and tools? Something like Zend Framework for PHP?","there are a lot of java web frameworks, here you have a list with lots of them: <http://java-source",you also have [appfuse](http://appfuse,-5.337825298309326,-2.8387398719787598,-5.756614685058594,-1.2069181203842163
2,i have a javascript file about 6000+ lines of codes created by myself. Now it has functions for different sections of my site.. Now what i want to ask is that should i use that large file or divide it in parts for respective sections and call it in respective section.,"i would suggest using 1 large one, as that requires only 1 http request",it depends on how much the http request cost is vs,-2.6342971324920654,-2.335019826889038,-2.034478187561035,-2.626739501953125
3,"I'm trying to solve [this problem.](https://stackoverflow.com/questions/5461191/creating-screens-and-underlying-data-access-layer-dynamically-on-android) I was wondering if it's possible to use ORMLite (or modify it) to support this use case ? 

Thanks.",just use [db4o](http://www,"now, you could create a table of screens which could then have a field table with the name of the screen-id, field name, and other information",-2.5556044578552246,-3.3225011825561523,-2.25954532623291,-2.510468006134033
4,"What version of Eclipse do I need for Google Web Toolkit? I see about 7 versions, but none make any references to GWT. Google doesn't mention it to. I did install the PHP version.",since gwt means java programming i would recommend the java (default) version of eclipse or java ee version because they contain the java development tools which will help you very when coding in java,i suppose you should install javaee version,-1.2700960636138916,-3.645364761352539,-2.336561918258667,-4.259256839752197
5,"I occasionally have Python programs that take a long time to run, and that I want to be able to save the state of and resume later. Does anyone have a clever way of saving the state either every x seconds, or when the program is exiting?","put all of your ""state"" data in one place and use a [pickle](http://docs","if you want to save everything, including the entire namespace and the line of code currently executing to be restarted at any time, there is not a standard library module to do that",-2.484609365463257,-2.7671220302581787,-1.9753473997116089,-1.7249574661254883
6,"As I am writing my first grails webflow I am asking myself if there is anyy tool or script what can visualize the flow?

Result can be a state diagram or some data to render in a graph tool like graphviz.",there's no tool around currently that will do this for you i'm afraid,"as far as i know there's only 2 plugin for grails which do visualization, but only build a class-diagram, they are [class diagram plugin](http://grails",-4.187442779541016,-2.338473320007324,-2.7171545028686523,-2.3374311923980713
7,"I can't insert a value using this code:

```
 insert into t_category_values (CategoryCode,
 CategoryValueCode, CategoryValue) values(2, 1, 1);

```

error msg

```
no primary key

```",your query is wrong it should be:```insert into `dba`,```insert into `dba`,-2.9000203609466553,-3.695068359375,-3.1379010677337646,-4.214082717895508
8,"Hey I have a .NET .aspx page that I would like to run every hour or so whats the best way to do this ?

I assume it will have to open a browser window to do so and if possible that it closes the window after.

EDIT : I have access over all features on the server",**option 1**: the cleanest solution would be to write a windows application that does the work (instead of an aspx page) and schedule this application on the server using the windows task scheduler,use this sample to schedule a task in asp,-3.4073572158813477,-2.9580867290496826,-5.245092868804932,-2.4751553535461426
9,i heard that domain driven design pattern but do not know what it is exactly. is it design pattern? if so then how it is different from mvc or mvp. please discuss this. how to implement domain driven design pattern with c#.,in short: it's not a design pattern,i believe this link should get you started and more,-5.884804725646973,-3.8631834983825684,-4.688920497894287,-3.758680820465088
10,"I know .NET and Mono are binary compatible but given a set of source code, will csc and mcs produce the exact same 100% identical binary CLI executable? Would one be able to tell whether an executable was compiled with csc or mcs?","a lot of things are not fully defined in the spec, or are implementation-specific extensions",i'm sure they don't produce the same il from the same sourcecode,-2.505241870880127,-1.1252459287643433,-2.044097900390625,-1.6234805583953857
11,I am using lua to administrate a firewall server and want to obfuscate sensible variables such as login data. I have tried luac but the variable content is still easily readable. Is there any way to encrypt/decrypt these sensible data?,"i'm assuming you have a lua script which contains both the commands to send as well as any ""secret data"", and you want to be able to run this script without having to type in anything interactively",if you're allowed to use compiled libraries (ie,-3.0127179622650146,-2.9413623809814453,-3.4839887619018555,-3.509437084197998
12,"I have a table with columns `user_id`, `time_stamp` and `activity` which I use for recoding user actions for an audit trail.

Now, I would just like to get the most recent timestamp for each unique `user_id`. How do I do that?","`select max(time_stamp), user_id from table group by user_id;`",the following query should be what you want,-1.4285118579864502,-1.907775640487671,-1.5686016082763672,-1.2372617721557617
13,"What does @propert(retain) do? it doesn't actually retain my object by my tests:

```
id obj = getObjectSomehow();
NSLog(@""%d"", [obj retainCount]);
propertyWithRetain = obj;
NSLog(@""%d"", [obj retainCount]);

// output:
// 1
// 1

```

How can I make a property that will really retain the object?","you're not using your property there, that's why it's not retaining!try this :```id obj = getobjectsomehow();nslog(@""%d"", [obj retaincount]);self",```propertywithretain = obj;```that just sets the ivar backing the property directly,-3.67091703414917,-3.1393702030181885,-2.5564146041870117,-3.865490674972534
14,"In Objective C I want to create a simple application that posts a string to a php file using ASIHTTPRequest.

I have no need for an interface and am finding it hard to find any example code. Does anyone know where I can find code, or can anyone give me an example of such code?",the asihttprequest documentation covers this,[this site](http://www,-3.4473111629486084,-3.2592670917510986,-4.703985691070557,-3.861001491546631
