,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
0,I have replaced three flats on my new bike and found each time a tear or hole at the base of the air valve. What can cause this.,1,the most likely cause is using a presto valve is a rim that's drilled for schrader,-3.685953378677368,-2.301302433013916,-4.181809902191162,-3.2253739833831787
1,"First of all I just started doing barre chords after learning ordinary non-barre chords. Problem is they don't sound so well, so my question is, will training with hand grippers help me achieve this? Because I've been applying equal pressure and they still sound a bit off, only a bit off.","no, training with hand grippers won't help you execute barre chords",i don't find those hand-grippers very effective in teaching you how to make your barre chords sound better,-2.4655914306640625,-0.3040328919887543,-4.317345142364502,-3.0570809841156006
2,"*How do you even read these runes?*

[![Wingdinglish](https://i.stack.imgur.com/7yv5Qm.png)](https://i.stack.imgur.com/7yv5Q.png)

*Note: Click image for full size*",it says> >  things look a bit off dont they> > > if we> >  replace each wingding character with the character at the same code point in the ordinary ascii character set,"if we use > >  a least significant bit detector,> > > we can find:> >  [![enter image description here](https://i",-3.2142326831817627,-3.3807103633880615,-4.479659080505371,-3.9008631706237793
3,"If one has built a kasher sukkah, with its own completed skhakh but there is a tree branch that leans against the skhakh, is it still kasher?",there are many details found in the shulchan aruch siman 626,"since the living branch covers only a small part of the succa, you can just not sit under the branch",-2.5758216381073,-2.6198365688323975,-3.070760726928711,-3.0991787910461426
4,How do you cite a background map layer that is used in ArcMap that is retrieved from ArcGIS Online? For example the background layer is suppose to be credited from the U.S. Geological Survey and in the description it was digitized from the U.S. Geological Survey Professional Paper 1183.,"according to the help topic [""defining parameter data types in a python toolbox""](http://resources",**what is the difference between defeatureclass and ifeatureclass?**first a short explanation of **interface** vs,-3.3312430381774902,-4.082023620605469,-5.193371295928955,-4.582524299621582
5,"I want it to perform good enough as a multimedia machine. Should I get one that is fan cooled or passively cooled? I think I want one with an HDMI port.

What chipset should I look for?","i agree with an ion chipset, there's really no competition in the quiet/itx space","if you want a really small system, look for a machine based on nvidia ion - basically, it has a atom cpu and can do 1080p output whilst keeping electricity usage low",-4.9107346534729,-3.073936700820923,-4.6901960372924805,-3.23429012298584
6,I copied 3.62 GB of data on to a re-writable DVD instead of erasing it. Now there is no data on the disc but it shows used space as 3.62 GB and 690 MB of free space. Now I am unable to erase my disc. What should I do to erase the disc and get the space back?,you aren't supposed to format a dvd-rw,"as stated elsewhere, you need to erase the dvd-rw before using it again",-0.37010160088539124,-3.9212145805358887,-0.07800368964672089,-2.1931278705596924
7,"apache ask for passphrase redirects to plymouth even when I'm remoted in using SSH and away from console.

How can I disabled plymouth?

Update: I did learn that I can `sudo plymouth --quit` and that will shutdown plymouth. I would like to know the recommended way to disable plymouth on boot.",plymouth should be stopping on its own when the boot is finished,the [how can i disable the purple splash screen at boot?](https://askubuntu,-3.5418169498443604,-2.3206329345703125,-3.892805576324463,-2.8911292552948
8,What is the best textbook (or book) for studying Etale cohomology?,my first exposure to étale cohomology was through bjorn poonen's notes [rational points on varieties](http://www-math,in the web page of [uwe jannsen](http://www,-2.8589062690734863,-1.843165636062622,-5.2503557205200195,-4.201813697814941
9,I have acquired a lot of nice blue and green equipments ~lvl 20. I have no use for these since my class can't equip them. Should I just npc these or salvage them? What is the most profitable way?,the most profitable way to get rid of rare equipment is often the black lion trading post,most common equipment is better off salvaged than sold,-4.860118865966797,-0.9844737648963928,-3.2399845123291016,-2.1693432331085205
10,"Is the full version of Quake II free now? If so, where can I find it - I don't see it available on ID's site, even in the Store section. 

I see that there's a GPL source available. And I recall ID having made other's free as well. Is there an authoritative source?",while id has [open-sourced the *engine*](https://github,quake 2's engine has been released as an open source product,-2.5506491661071777,-3.962324857711792,-2.178490400314331,-3.9405806064605713
11,Is there any way to see all publicly shared Google Drive items/documents from a specific Google user?,"i wrote a google apps script macro that you can attach to a new spreadsheet (or an old one, if it would make any sense) that accomplishes this task",if you are admin you can use the drige api with a service account impersonating that user,-2.815580368041992,-2.2434370517730713,-1.72548246383667,-2.1468923091888428
12,"I seem to be asking questions that often belong to other overflow sites. 

Where can I browse the list of current overflow sites so I can choose one where to ask the question?",look up and left in this page,"on area 51 you can see the sites that have been launched and the ones which are currently in their beta phase, as well as proposals for new sites",-5.161390781402588,-4.703642845153809,-3.6720128059387207,-1.8463586568832397
13,"I'm using Parallels on my mac. But when I open a software the font are so small, it's very weird. Can anyone help me out!!!

![The tool bar of chrome is so small](https://i.stack.imgur.com/zgQM4.png)

The picture above is when I open up my chrome, how can I fix it?","i've seen this particular problem many times, and a lot of it has to do with how windows handles dpi scaling",i had the exact same problem,-4.287355899810791,-3.9020330905914307,-4.343621253967285,-3.8622000217437744
14,"I've read on a Twitter support page that when we block a user that user will be notified that he/she has been blocked. My question is: when I block a user, that user will still be able to see my profile? Is there a way to prevent users from viewing my profile permanently?","> > how to change comma to dot?> > > use edit, find and replace","go to ""file"" > ""spreadsheet settings"" and modify the ""locale""",-4.814323425292969,-3.7865524291992188,-4.080472946166992,-4.48097562789917
15,"How does a Stack Overflow moderator know about sock puppet accounts? 

How do they trap the user?","i am not going to answer this directly, for reasons that should be obvious",they have ways of finding pretty much any kind of sock puppets using their sites,-3.338648796081543,-3.691579580307007,-3.309314250946045,-4.556843280792236
16,I was wondering if there are any ledgers to make such entries. I trade regularly and I would like to make a good record of it.,have a look at the asset functionality of common accounting packages,it's fairly easy to set up a spreadsheet that records trades and reconciles the gains and losses,-5.227535724639893,-4.139040470123291,-3.273414134979248,-4.697301864624023
17,"I want to buy the full version of Minecraft, but I'm one of those creative types. What are some of the differences in Creative mode in the full version of Minecraft?",from [the wiki](http://www,"you can play the free version, so i won't waste too many words about it",-5.288325309753418,-4.809294700622559,-5.405907154083252,-4.306507587432861
18,"So in 3 we learn about the Virgo II lander, but really not much else in the space program. What else happened? Were there space stations, probes to other planets?","ultimately, we have speculative evidence that *project: safehouse*, aka the *societal preservation program*, which tasked the enclave to oversee the vaults, had but one supreme objective","there was hubology in fallout 2, with the questionable goal of leaving earth in an old pre-war space shuttle",-3.197256088256836,-2.8400626182556152,-4.3737030029296875,-3.348234176635742
19,"My barbarian will be level 3 soon, and I'm looking forward to choosing the Path of the Totem Warrior.",the most thematically appropriate option would be for your barbarian to hunt the relevant animal of your choice,"you need to acquire the item:> > you must make or acquire a physical totem object -an amulet or similar adornment—that incorporates fur or feathers, claws, teeth, or bones of the totem animal",-1.9900834560394287,-0.49938544631004333,-2.2457542419433594,0.6255099177360535
