,question,response1,response2,r1_score1,r1_s2,r2_s1,r2_s2
0,"I want to create a list with my database field values.
There are 2 columns, name and surname.
I want to create a list that stores all names in name column in a field and then add to my DTO.

Is this possible?",**steps you can follow**: -* first you need to have a `list<string>` that will store all your names,it is,-4.64202356338501,-4.46271276473999,-5.414391040802002,-3.3195841312408447
1,Can somebody please suggest me when would I need a Level-Order Traversal (to solve some practical/real-life scenario)?,[level order traversal](http://en,google map direction is using level order traversal (bfs) all the time,-4.233628273010254,-2.871100902557373,-5.01396369934082,-3.1735143661499023
2,"I have a few kegs of the same package in `/usr/local/Cellar/libfoo` like `/usr/local/Cellar/libfoo/1.0.1`, `/usr/local/Cellar/libfoo/HEAD` and `/usr/local/Cellar/libfoo/mycopy`

How can I brew link to a specific version?","if you have installed, for example, php 5",if @simon's answer is not working in some of the mac's please follow the below process,-4.8561625480651855,-4.669424057006836,-5.117584228515625,-4.003310203552246
3,I have a UITextView that is being edited and I want to add a custom keyboard... is there any way to dismiss the keyboard but leave the textView in edit mode so the blue cursor keeps flashing? Or better yet is there any way to put a view ontop of the keyboard?,you should register for notification `uikeyboardwillshownotification`,try this`uitextfieldview,-3.1909308433532715,-2.491231918334961,-2.2540438175201416,-3.460963726043701
4,"My JSON data is like 

```
{
    ""Brand"":[""EM-03"",""TORRES""],
    ""Price"":[""5.00000"",""10.00000"",""15.00000""],
    ""Country"":[""US"",""SG""]
}

```

I want to loop that JSON data to get

```
Brand = 
  EM-03 -
  TORRES

Price = 
  5.00000 -
  10.00000 -
  15.00000

Country = US - SG

```",with [`$,try this```$,-4.023930072784424,-1.5149271488189697,-4.026245594024658,-1.5817326307296753
5,"I have a JS app that saves to localStorage. No big deal. However, what's being stored are fairly large JSONs. 10MB vanishes quickly. What I'd like to do is, if storage is full, delete the oldest record.

Is there a way to reliably find the oldest record in localStorage?","in order to make your layerslider display at 100% height and width, leave the ""slider height"" attribute in ""slider settings"" blank, and then use a script like the following to set the height:```<script type=""text/javascript"">     function resize()    {        var heights = window","you can add style to the div element```<div style=""background: url(images/xyz",-2.489406108856201,-2.3970298767089844,-1.5246176719665527,-3.2468395233154297
6,"My Box Shadow is not showing in IE7 and IE8. 

```
#bodyContainer{
 background: url(../images/site_bg.png)  repeat ;
 margin: 0px auto;
    width:1000px;
    float:left;
    position:relative;
    border: 1px solid #EEEEEE;
    /*background:#FFFFFF;*/
     box-shadow: 0 0 5px 0 #000000;

}

```",you have to use the non-standard ie filter property,accoding to `box-shadow`'s [mdn compatibility table](https://developer,-0.5034881234169006,-1.507096767425537,-0.24618911743164062,-1.9016478061676025
7,I need to set up a listener that can call a method every time a `show()` method is invoked to display a window. How can I do this?,you'd probably be interested in `windowlistener`,there is an interface called [windowlistener](http://docs,-5.025490760803223,-2.4887149333953857,-2.5073628425598145,-2.20350980758667
8,"How to Make a Game Like Cut the Rope using vrope class ???

my game is on cocos2d for iphone >> cut the rope","using **nsurlconnection** ,try this```// create the request","without using `nsurlconnection` you can easily download files, then no need to overhead delegate calls",-4.823585510253906,-3.8731002807617188,-5.187192440032959,-4.6757402420043945
9,"i have created an application called ""xyz.msi"" and installed. Now i created another application called ""abc.msi"" and trying to install.

But my question is if ""xyz.msi"" is installed already then it shouldn't allow to install ""abc.msi"". 
Thanks in advance",take a look at the [upgrade table](http://msdn,you are asking how msi detect an installed application,-4.2444586753845215,-3.0322623252868652,-0.8944221138954163,-0.8106310367584229
10,"How to remove curly brackets in R?
Eg. ""{abcd}"" to ""abcd""

How can I use gsub function in R to do this? If any other method is available, please suggest.","try this ```gsub(""\\{|\\}"", """", ""{abcd}"")[1] ""abcd""```or this ```gsub(""[{}]"", """", ""{abcd}"")```","```x <- ""{abcd}""gsub(""^\\{+(",-5.894623279571533,-2.6542484760284424,-5.117453098297119,-3.1537442207336426
11,"If you close a GUI using the the little X in the top right of the form, does that kill all your threads as well?

If not, how to you catch that event so I can put in some close down code?",```setdefaultcloseoperation(jframe,"> > if you close a gui using the the little x in the top right of the form, does that kill all your threads as well?> > > yes, if the default close operation is `exit_on_close` as mentioned by luiggi",-2.6784744262695312,-2.0097012519836426,-2.425393581390381,-3.646116256713867
12,"I want to validate url before redirect it using Flask.

My abstract code is here...

```
@app.before_request
def before():
   if request.before_url == ""http://127.0.0.0:8000"":
       return redirect(""http://127.0.0.1:5000"")

```

Do you have any idea? 
Thanks in advance.",use [urlparse (builtin module)](http://docs,you can do something like this (not tested):```@app,-4.72113037109375,-2.8206396102905273,-5.434977054595947,-3.713829755783081
13,Is there a way to dump the generated sql to the Debug log or something? I'm using it in a winforms solution so the mini-profiler idea won't work for me.,dapper does not currently have an instrumentation point here,you should consider using sql profiler located in the menu of *sql management studio* ***→ extras → sql server profiler*** (no dapper extensions needed - may work with other rdbms when they got a sql profiler tool too),-4.268847942352295,-1.8868567943572998,-2.538088321685791,-3.027484893798828
14,"How can I retrieve all keys in a Hash in Ruby, also the nested ones. Duplicates should be ignored, e.g.

```
{ a: 3, b: { b: 2, b: { c: 5 } } }.soberize
=> [:a, :b, :c]

```

What would be the fastest implementation?",simple recursive solution:```def recursive_keys(data)  data,"what about a recursive method?```def nested_keys(hash, array)  if hash",-4.115378379821777,-2.7976067066192627,-3.4704411029815674,-2.6892335414886475
